"stname","clock","crazy","day"
"oksu",8,160,"week"
"ilwon",8,72,"week"
"jamwon",8,148,"week"
"jichook",8,96,"week"
"choongmuro",8,286,"week"
"hakyeowool",8,81,"week"
"hongje",8,144,"week"
"killeum",8,156,"week"
"namtaeryeong",8,205,"week"
"nowon",8,53,"week"
"dangkokae",8,10,"week"
"dongjak",8,106,"week"
"myeongdong",8,108,"week"
"mia",8,123,"week"
"mia4keori",8,144,"week"
"samkakji",8,105,"week"
"sangkye",8,30,"week"
"sungsinyeodae",8,166,"week"
"sooyou",8,110,"week"
"sookmyeong",8,101,"week"
"sinyongsan",8,101,"week"
"ssangmoon",8,92,"week"
"ichon",8,107,"week"
"changdong",8,68,"week"
"chongsindae",8,115,"week"
"hanseongdae",8,178,"week"
"hyehwa",8,177,"week"
"hoihyeon",8,102,"week"
"kyodae",8,396,"week"
"dongdaemon",8,336,"week"
"dongyeoksa",8,245,"week"
"sadang",8,347,"week"
"seoulstation",8,210,"week"
"sichong",8,233,"week"
"sinsuldong",8,183,"week"
"eulji3ga",8,243,"week"
"jongro3ga",8,318,"week"
"dongmyo",9,90,"week"
"jegidong",9,88,"week"
"jongkak",9,87,"week"
"jongro5",9,99,"week"
"cheongryangri",9,80,"week"
"kangnam",9,138,"week"
"kangbyeon",9,79,"week"
"keondae",9,74,"week"
"gurodigital",9,112,"week"
"gooui",9,74,"week"
"kkachisan",9,31,"week"
"nakseongdae",9,146,"week"
"dangsan",9,111,"week"
"daerim",9,126,"week"
"dorimcheon",9,86,"week"
"ttooksum",9,65,"week"
"moonrae",9,117,"week"
"bangbae",9,157,"week"
"bongcheon",9,125,"week"
"samseong",9,93,"week"
"sangwangshipri",9,70,"week"
"seouldaeipgu",9,135,"week"
"seocho",9,157,"week"
"seonreung",9,117,"week"
"seongnae",9,77,"week"
"seongsu",9,72,"week"
"seongsuG",9,21,"week"
"sindap",9,35,"week"
"sindang",9,69,"week"
"sindaebang",9,117,"week"
"sindorim",9,119,"week"
"sindorimG",9,24,"week"
"sinrim",9,125,"week"
"sinjeongnegeori",9,66,"week"
"sincheon",9,101,"week"
"sinchon",9,81,"week"
"ahyeon",9,84,"week"
"yangcheonguchong",9,84,"week"
"yeoksam",9,133,"week"
"yeongdeungpoguchong",9,113,"week"
"wangshipri",9,70,"week"
"yongdap",9,40,"week"
"yongdu",9,38,"week"
"eulji4ga",9,37,"week"
"euljiipgu",9,54,"week"
"ewhadae",9,80,"week"
"jamsil",9,96,"week"
"jonghapwoondongjang",9,103,"week"
"chungjeongro",9,84,"week"
"hanyangdae",9,61,"week"
"hapjeong",9,100,"week"
"hongdae",9,90,"week"
"karaksijang",9,27,"week"
"kyeongbokgoong",9,96,"week"
"keongchalhospital",9,15,"week"
"expressterminal",9,120,"week"
"gupabal",9,45,"week"
"geumho",9,106,"week"
"southterminal",9,93,"week"
"nokbeon",9,79,"week"
"daecheong",9,44,"week"
"daechi",9,49,"week"
"dokok",9,53,"week"
